Languages,Articles,Pages,Edits
ၽႃႇသႃႇတႆး ,"13,625","32,146","64,525"
অসমীয়া,"13,530","95,294","425,951"
文言,"13,461","109,254","407,271"
emiliàn e rumagnòl,"13,060","35,382","156,964"
Acèh,"12,970","27,779","150,926"
Interlingue,"12,729","16,768","159,373"
walon,"12,394","29,355","406,385"
संस्कृतम्,"12,199","76,692","487,053"
Արեւմտահայերէն,"11,761","25,758","220,580"
chiShona,"11,437","20,375","111,167"
isiZulu,"11,382","25,381","108,295"
олык марий,"11,358","30,389","198,298"
ᱥᱟᱱᱛᱟᱲᱤ,"11,357","24,121","148,038"
Ligure,"11,264","27,419","248,311"
Fiji Hindi,"11,135","48,966","311,991"
Banjar,"10,766","31,920","96,804"
ភាសាខ្មែរ,"10,557","35,111","309,277"
кырык мары,"10,432","20,168","105,953"
ꯃꯤꯇꯩ ꯂꯣꯟ,"10,428","17,082","57,443"
客家語/Hak-kâ-ngî,"10,263","19,648","128,739"
الدارجة,"10,126","71,043","364,236"
dagbanli,"9,887","20,092","89,648"
Kapampangan,"9,732","22,624","306,380"
tarandíne,"9,487","18,870","149,701"
русиньскый,"9,137","20,268","145,907"
भोजपुरी,"8,724","77,311","772,034"
Sesotho sa Leboa,"8,612","11,003","51,135"
corsu,"8,182","17,281","393,344"
Soomaaliga,"8,039","25,326","265,144"
West-Vlams,"8,013","22,074","316,928"
Nedersaksies,"7,929","21,674","328,876"
Māori,"7,923","15,234","164,751"
davvisámegiella,"7,894","21,032","303,383"
эрзянь,"7,877","30,247","150,515"
tolışi,"7,799","11,280","104,309"
sardu,"7,595","17,196","183,909"
Ikinyarwanda,"7,428","15,437","107,792"
Qaraqalpaqsha,"7,116","17,488","89,040"
བོད་ཡིག,"7,097","18,817","143,353"
kernowek,"7,068","14,605","217,458"
گیلکی,"7,016","15,340","68,916"
vepsän kel’,"6,980","35,849","169,633"
Türkmençe,"6,874","16,931","255,240"
Taqbaylit,"6,830","16,696","109,886"
Gaelg,"6,760","28,756","335,035"
贛語,"6,730","34,237","398,935"
võro,"6,677","12,710","180,925"
Malti,"6,653","22,007","309,183"
Zeêuws,"6,354","12,232","147,723"
аԥсшәа,"6,251","27,422","142,746"
سرائیکی,"6,083","8,423","33,424"
ئۇيغۇرچە / Uyghurche,"6,020","15,705","159,214"
anarâškielâ,"5,866","22,465","108,534"
мокшень,"5,857","19,079","84,485"
arpetan,"5,783","17,259","225,904"
Avañe'ẽ,"5,759","13,608","131,417"
Picard,"5,749","11,039","73,310"
удмурт,"5,703","19,401","127,354"
коми,"5,531","18,256","143,865"
kaszëbsczi,"5,462","8,800","188,562"
कॉशुर / کٲشُر,"5,328","14,652","92,411"
Aymar aru,"5,174","8,872","100,152"
Nouormand,"4,980","10,580","220,460"
Ænglisc,"4,481","18,679","215,969"
лезги,"4,402","14,282","95,668"
livvinkarjala,"4,397","12,668","36,174"
Nāhuatl,"4,315","13,365","521,257"
Lingua Franca Nova,"4,268","6,821","40,037"
Mirandés,"4,262","10,674","103,922"
furlan,"4,202","9,583","175,386"
Papiamentu,"4,129","9,052","131,220"
Seeltersk,"4,119","10,834","123,058"
Twi,"4,030","7,605","124,206"
ລາວ,"3,940","13,653","108,115"
lingála,"3,865","10,285","128,971"
rumantsch,"3,774","9,674","166,015"
Ladino,"3,713","13,298","212,905"
estremeñu,"3,706","8,566","131,038"
गोंयची कोंकणी / Gõychi Konknni,"3,595","9,480","212,441"
डोटेली,"3,547","20,961","241,738"
тыва дыл,"3,544","12,940","47,927"
авар,"3,534","17,173","91,688"
перем коми,"3,463","12,467","62,137"
dolnoserbski,"3,401","11,328","145,107"
Chavacano de Zamboanga,"3,218","8,405","114,958"
Luganda,"3,105","7,123","34,691"
ދިވެހިބަސް,"3,100","12,008","133,591"
Ripoarisch,"2,986","10,698","1,608,777"
Vahcuengh,"2,963","5,428","42,168"
буряад,"2,831","11,211","72,751"
ပအိုဝ်ႏဘာႏသာႏ,"2,813","7,385","29,884"
Gagauz,"2,803","6,652","69,464"
Pälzisch,"2,760","6,969","91,095"
Sakizaya,"2,669","6,001","136,851"
Hawaiʻi,"2,619","5,774","98,457"
Pangasinan,"2,585","6,642","77,682"
Tayal,"2,572","3,141","59,240"
Betawi,"2,557","5,673","24,241"
पालि,"2,556","4,669","102,301"
अवधी,"2,472","5,695","26,432"
ⵜⴰⵎⴰⵣⵉⵖⵜ ⵜⴰⵏⴰⵡⴰⵢⵜ,"2,445","5,767","38,277"
Fulfulde,"2,428","8,245","46,873"
ತುಳು,"2,335","12,644","131,810"
гӀалгӀай,"2,195","14,343","66,223"
къарачай-малкъар,"2,127","14,673","110,331"
isiXhosa,"2,076","5,149","37,191"
Atikamekw,"2,049","3,208","15,852"
lea faka-Tonga,"2,015","5,491","43,412"
Deitsch,"2,010","5,945","106,132"
ဘာသာမန်,"1,927","6,579","43,882"
ܐܪܡܝܐ,"1,906","6,550","96,610"
Taclḥit,"1,884","5,367","50,947"
Oromoo,"1,844","5,168","43,374"
Gĩkũyũ,"1,775","3,468","21,884"
хальмг,"1,754","12,100","90,418"
Setswana,"1,738","5,577","37,159"
fɔ̀ngbè,"1,735","3,072","21,675"
Patois,"1,716","3,094","22,003"
Li Niha,"1,716","4,272","23,199"
Kabɩyɛ,"1,712","3,438","18,244"
Wolof,"1,698","5,470","106,135"
Ghanaian Pidgin,"1,694","6,502","35,197"
Novial,"1,664","4,588","179,239"
अंगिका,"1,644","4,718","19,914"
адыгэбзэ,"1,640","7,088","47,793"
Dagaare,"1,612","2,645","29,673"
ߒߞߏ,"1,517","3,296","11,767"
Bislama,"1,460","3,409","43,270"
armãneashti,"1,390","4,561","208,348"
Tok Pisin,"1,381","5,816","87,727"
tetun,"1,365","3,905","68,273"
gungbe,"1,345","2,461","38,541"
la .lojban.,"1,334","5,781","112,603"
Kongo,"1,321","3,542","45,737"
Na Vosa Vakaviti,"1,297","3,684","35,930"
лакку,"1,271","15,654","52,084"
Madhurâ,"1,251","2,514","17,068"
словѣньскъ / ⰔⰎⰑⰂⰡⰐⰠⰔⰍⰟ,"1,234","5,734","85,107"
reo tahiti,"1,222","3,021","53,560"
Naijá,"1,187","2,283","25,045"
Seediq,"1,175","2,133","100,176"
Gagana Samoa,"1,155","3,505","43,641"
Pangcah,"1,136","2,072","43,682"
Sranantongo,"1,121","2,713","39,706"
Tyap,"1,109","5,364","32,558"
алтай тил,"1,096","6,327","46,847"
latgaļu,"1,081","3,356","36,711"
ᏣᎳᎩ,"1,068","4,197","49,107"
kriyòl gwiyannen,"1,067","2,653","17,341"
Batak Mandailing,"1,055","2,222","9,538"
Chi-Chewa,"1,030","4,717","42,208"
Sesotho,"1,011","4,624","30,550"
Kʋsaal,986,"1,513","11,529"
SiSwati,954,"2,975","40,482"
Norfuk / Pitkern,918,"3,388","44,935"
eʋegbe,915,"3,988","57,275"
farefare,903,"2,360","15,376"
𐌲𐌿𐍄𐌹𐍃𐌺,900,"3,773","46,930"
bamanankan,829,"3,297","41,396"
romani čhib,781,"2,916","54,136"
Batak Toba,777,"1,238","9,825"
Xitsonga,775,"3,955","38,125"
Tshivenda,775,"2,323","20,472"
Tsetsêhestâhese,714,"2,265","25,015"
ikirundi,655,"2,600","24,752"
Dusun Bundu-liwan,629,"2,796","13,533"
mfantse,604,"1,602","11,396"
Iñupiatun,593,"2,845","39,761"
wayuunaiki,576,"1,211","15,154"
Igala,562,909,"26,108"
адыгабзэ,559,"4,050","14,913"
Chamoru,556,"2,535","24,104"
Ποντιακά,500,"2,083","35,640"
ᐃᓄᒃᑎᑐᑦ / inuktitut,404,"2,933","47,432"
pinayuanan,357,585,"12,542"
Sängö,328,"2,028","21,139"
Thuɔŋjäŋ,327,"1,134","8,795"
ትግርኛ,304,"2,935","24,831"
ཇོང་ཁ,279,"3,593","32,891"
kalaallisut,242,"2,304","75,286"
Nēhiyawēwin / ᓀᐦᐃᔭᐍᐏᐣ,12,"2,304","39,970"
Oshiwambo,8,442,"5,927"
Chahta anumpa,6,200,"4,220"
Ebon,4,205,"4,212"
Kwanyama,4,113,"3,548"
Hiri Motu,3,128,"3,786"
ꆇꉙ,3,188,"11,653"
لۊری شومالی,1,238,"140,069"
Mvskoke,1,114,"3,603"
Qafár af,0,511,"4,691"
ak,0,"1,712","29,882"
Otsiherero,0,175,"4,483"
kanuri,0,161,"4,641"
Dorerin Naoero,0,"1,811","89,991"
"63,370,823","3,558,009,478","3,537","114,739,690"
