City,Date,Temperature,Weather
Tokyo,2024-08-20 00:00:00,30.77,light rain
Tokyo,2024-08-20 03:00:00,33.53,clear sky
Tokyo,2024-08-20 06:00:00,33.52,clear sky
Tokyo,2024-08-20 09:00:00,30.02,scattered clouds
Tokyo,2024-08-20 12:00:00,29.85,broken clouds
Tokyo,2024-08-20 15:00:00,29.1,overcast clouds
Tokyo,2024-08-20 18:00:00,27.56,overcast clouds
Tokyo,2024-08-20 21:00:00,25.97,light rain
Tokyo,2024-08-21 00:00:00,27.55,light rain
Tokyo,2024-08-21 03:00:00,28.68,light rain
Tokyo,2024-08-21 06:00:00,29.37,light rain
Tokyo,2024-08-21 09:00:00,27.49,overcast clouds
Tokyo,2024-08-21 12:00:00,25.84,overcast clouds
Tokyo,2024-08-21 15:00:00,25.37,overcast clouds
Tokyo,2024-08-21 18:00:00,24.89,overcast clouds
Tokyo,2024-08-21 21:00:00,24.75,overcast clouds
Tokyo,2024-08-22 00:00:00,25.49,overcast clouds
Tokyo,2024-08-22 03:00:00,27.45,overcast clouds
Tokyo,2024-08-22 06:00:00,28.11,overcast clouds
Tokyo,2024-08-22 09:00:00,26.76,overcast clouds
Tokyo,2024-08-22 12:00:00,26.22,overcast clouds
Tokyo,2024-08-22 15:00:00,25.94,overcast clouds
Tokyo,2024-08-22 18:00:00,25.94,overcast clouds
Tokyo,2024-08-22 21:00:00,26.03,overcast clouds
Tokyo,2024-08-23 00:00:00,26.92,overcast clouds
Tokyo,2024-08-23 03:00:00,29.54,overcast clouds
Tokyo,2024-08-23 06:00:00,30.16,overcast clouds
Tokyo,2024-08-23 09:00:00,28.76,broken clouds
