Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Popularity
London 2012: The Official Video Game of the Olympic Games,X360,2012.0,Sports,Sega,0.07,0.44,0.0,0.07,0.58,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Kirby's Adventure,NES,1993.0,Platform,Nintendo,0.79,0.14,0.8,0.02,1.75,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
CSI: Deadly Intent,Wii,2009.0,Adventure,Ubisoft,0.12,0.13,0.0,0.03,0.28,71.0,21.0,tbd,24.0,Telltale Games,M,
Jewel Master: Cradle of Persia,DS,2012.0,Puzzle,Rising Star Games,0.0,0.04,0.0,0.01,0.05,71.0,21.0,tbd,24.0,Rising Star Games,E,
The Legend of Zelda: Link's Awakening,GB,1992.0,Action,Nintendo,2.21,0.96,0.54,0.13,3.83,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Imagine: Detective,DS,2009.0,Simulation,Ubisoft,0.14,0.01,0.0,0.06,0.22,71.0,21.0,tbd,24.0,Ubisoft Sao Paulo,E,
Avatar: The Game,PC,2009.0,Action,Ubisoft,0.0,0.04,0.0,0.01,0.04,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Dr. Seuss' The Cat in the Hat,PS2,2003.0,Misc,Vivendi Games,0.27,0.21,0.0,0.07,0.56,56.0,6.0,6.5,8.0,Magenta Software,E,
Disney's DuckTales,NES,1989.0,Platform,Capcom,0.91,0.3,0.42,0.04,1.67,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Aiyoku no Eustia,PSV,2014.0,Misc,dramatic create,0.0,0.0,0.01,0.0,0.01,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Jikkyou Powerful Pro Yakyuu 2009,PS2,2009.0,Sports,Konami Digital Entertainment,0.0,0.0,0.15,0.0,0.15,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Chou-Kuukan Night Pro Yakyuu King (weekly JP sales),N64,1996.0,Sports,Imagineer,0.0,0.0,0.19,0.0,0.19,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Shellshock,PS,1995.0,Action,Core Design Ltd.,0.06,0.04,0.0,0.01,0.1,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Nurarihyon no Mago: Hyakki Ryouran Taisen,PS3,2011.0,Fighting,Konami Digital Entertainment,0.0,0.0,0.02,0.0,0.02,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
World Series of Poker 2008: Battle for the Bracelets,PS3,2007.0,Misc,Activision,0.08,0.01,0.0,0.01,0.1,75.0,6.0,tbd,24.0,Left Field Productions,T,
Inazuma Eleven 3,DS,2010.0,Role-Playing,Level 5,0.0,0.0,0.93,0.0,0.93,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Dynasty Warriors 7: Empires,PS3,2012.0,Action,Ubisoft Annecy,0.0,0.0,0.14,0.0,0.14,63.0,20.0,8,22.0,Omega Force,T,
Naxat Soft Reachmania Vol. 1: CR Galaxy Angel,PS2,2008.0,Misc,Naxat Soft,0.0,0.0,0.01,0.0,0.01,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Conflict: Desert Storm II - Back to Bagdhad,XB,2003.0,Shooter,SCi,0.21,0.06,0.0,0.01,0.28,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Dig Dug,2600,1982.0,Puzzle,Atari,1.52,0.1,0.0,0.02,1.64,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
The Dark Spire,DS,2008.0,Role-Playing,Success,0.04,0.0,0.0,0.0,0.04,69.0,23.0,7.7,21.0,Success,E10+,
Imagine: Fashion Designer World Tour,DS,2009.0,Simulation,Ubisoft,0.27,0.0,0.0,0.02,0.29,71.0,21.0,tbd,24.0,Virtual Toys,E,
Jak and Daxter: The Lost Frontier,PS2,2009.0,Platform,Sony Computer Entertainment,0.22,0.17,0.0,0.06,0.46,72.0,8.0,4.6,32.0,High Impact Games,E10+,
Doko Demo Issho: Let's Gakkou!,PSP,2006.0,Misc,Sony Computer Entertainment,0.0,0.0,0.04,0.0,0.04,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
7th Dragon III Code: VFD,3DS,2015.0,Role-Playing,Sega,0.04,0.0,0.12,0.0,0.17,77.0,26.0,8.2,38.0,Sega,T,
DreamWorks Super Star Kartz,PS3,2011.0,Racing,Activision,0.06,0.03,0.0,0.02,0.12,71.0,21.0,tbd,24.0,Activision,E,
MotoGP 08,PS3,2008.0,Racing,Capcom,0.07,0.24,0.0,0.08,0.39,65.0,21.0,6,9.0,Milestone S.r.l,E,
Madden NFL 25,PS3,2013.0,Sports,Electronic Arts,1.6,0.03,0.0,0.24,1.87,76.0,19.0,4.1,91.0,EA Sports,E,
HSX HyperSonic.Xtreme,PS2,2002.0,Racing,Midas Interactive Entertainment,0.25,0.2,0.0,0.07,0.51,53.0,17.0,8.4,8.0,Blade Interactive,E,
Sugar + Spice! Anoko no Suteki na Nanimokamo,PS2,2008.0,Adventure,Alchemist,0.0,0.0,0.01,0.0,0.01,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
MX 2002 Featuring Ricky Carmichael,GBA,2001.0,Racing,THQ,0.11,0.04,0.0,0.0,0.16,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Kelly Slater's Pro Surfer,XB,2002.0,Sports,Activision,0.08,0.02,0.0,0.0,0.1,80.0,15.0,8,6.0,Treyarch,E,
Still Life 2,PC,2009.0,Adventure,Rondomedia,0.0,0.01,0.0,0.0,0.02,67.0,15.0,5.7,54.0,GameCo,M,
Tom Clancy's Rainbow Six: Siege,PS4,2015.0,Shooter,Ubisoft,0.55,1.19,0.14,0.33,2.21,73.0,40.0,7.3,279.0,Ubisoft Montreal,M,
Teenage Mutant Ninja Turtles: Smash-Up,PS2,2009.0,Fighting,Ubisoft,0.11,0.08,0.0,0.03,0.21,71.0,21.0,8.4,12.0,Game Arts,E10+,
Ballistic: Ecks vs. Sever,GBA,2002.0,Shooter,BAM! Entertainment,0.07,0.03,0.0,0.0,0.1,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Spy Kids 3-D: Game Over,GBA,2003.0,Platform,Disney Interactive Studios,0.24,0.09,0.0,0.01,0.33,62.0,4.0,7.7,6.0,Digital Eclipse,E,
Monster Hunter 2,PS2,2007.0,Role-Playing,Capcom,0.0,0.0,0.63,0.0,0.63,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Whiplash,PS2,2003.0,Racing,Eidos Interactive,0.06,0.05,0.0,0.02,0.13,66.0,32.0,8.7,15.0,Crystal Dynamics,T,
Mushihimesama Futari Ver 1.5,X360,2009.0,Shooter,Cave,0.0,0.0,0.03,0.0,0.03,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,X360,2011.0,Action,THQ,0.07,0.03,0.0,0.01,0.11,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Ice Age: Dawn of the Dinosaurs,DS,2009.0,Action,Activision,0.2,0.15,0.0,0.04,0.38,54.0,4.0,tbd,24.0,Activision,E,
Teenage Mutant Ninja Turtles: Smash-Up,Wii,2009.0,Fighting,Ubisoft,0.33,0.0,0.0,0.03,0.35,67.0,34.0,8.2,21.0,Game Arts,E10+,
Little League World Series Baseball 2010,PS3,2010.0,Sports,Activision,0.07,0.0,0.0,0.01,0.08,61.0,4.0,tbd,24.0,Now Production,E,
Kurushi Final: Mental Blocks,PS,1998.0,Puzzle,Sony Computer Entertainment,0.0,0.0,0.32,0.02,0.34,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Ghosts 'n Goblins,NES,1986.0,Action,Capcom,0.74,0.26,0.61,0.03,1.64,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Onechanbara Z2: Chaos,PS4,2014.0,Action,Nippon Ichi Software,0.14,0.03,0.04,0.04,0.24,57.0,40.0,6.5,72.0,"Tamsoft, D3Publisher",M,
Counter-Strike,XB,2003.0,Shooter,Microsoft Game Studios,0.85,0.23,0.0,0.04,1.11,74.0,38.0,7.6,51.0,Valve Software,M,
Time Crisis 4,PS3,2007.0,Shooter,Namco Bandai Games,0.32,0.32,0.05,0.14,0.83,60.0,52.0,7.4,21.0,Nex Entertainment,T,
Professor Layton and the Last Specter,DS,2009.0,Puzzle,Nintendo,0.28,1.39,0.68,0.32,2.67,83.0,58.0,8.7,52.0,Level 5,E10+,
Heroes of Might and Magic V,PC,2006.0,Strategy,Ubisoft,0.0,0.03,0.0,0.01,0.04,77.0,41.0,7.9,279.0,Nival Interactive,T,
All Star Cheer Squad,Wii,2008.0,Sports,THQ,0.43,0.29,0.0,0.08,0.79,71.0,21.0,5.2,10.0,Gorilla Games,E,
NHL 07,PSP,2006.0,Sports,Electronic Arts,0.13,0.02,0.0,0.02,0.17,76.0,7.0,6.6,23.0,EA Sports,E10+,
Horsez,DS,2006.0,Simulation,Ubisoft,0.38,0.01,0.0,0.03,0.42,71.0,21.0,8.7,14.0,Virtual Toys,E,
Rhythm Heaven: The Best+,3DS,2015.0,Misc,Nintendo,0.0,0.03,0.72,0.0,0.74,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Ansatsu Kyoushitsu: Assassin Ikusei Keikaku!!,3DS,2016.0,Action,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Mega Man Battle Chip Challenge,GBA,2003.0,Misc,Capcom,0.08,0.03,0.0,0.0,0.11,54.0,25.0,8.3,8.0,Capcom,E,
Goat Simulator,XOne,2016.0,Simulation,Koch Media,0.0,0.01,0.0,0.0,0.01,53.0,15.0,6.3,63.0,Coffee Stain Studios,T,
Dynasty Tactics 2,PS2,2003.0,Strategy,Tecmo Koei,0.05,0.04,0.0,0.01,0.11,78.0,18.0,9.1,13.0,Koei,T,
Monster Hunter Frontier Online,X360,2010.0,Role-Playing,Capcom,0.0,0.0,0.13,0.0,0.13,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Agatha Christie: The ABC Murders,DS,2009.0,Adventure,JoWood Productions,0.08,0.01,0.0,0.01,0.1,53.0,11.0,6.5,6.0,Dreamcatcher,T,
Saw II: Flesh & Blood,PS3,2010.0,Action,Konami Digital Entertainment,0.1,0.06,0.0,0.02,0.18,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Disney Infinity,3DS,2013.0,Action,Disney Interactive Studios,0.17,0.1,0.0,0.02,0.29,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
House M.D.,DS,2010.0,Adventure,Mindscape,0.02,0.0,0.0,0.0,0.03,71.0,21.0,UNKNOWN,24.0,Legacy Interactive,T,
Mega Man X4,PS,1996.0,Action,Virgin Interactive,0.45,0.3,0.22,0.07,1.04,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Metroid Prime 3: Corruption,Wii,2007.0,Shooter,Nintendo,0.89,0.74,0.07,0.09,1.79,90.0,62.0,8.9,279.0,Retro Studios,T,
Baseball,NES,1983.0,Sports,Nintendo,0.73,0.1,2.35,0.02,3.2,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Domino Rally,Wii,2007.0,Action,Nordcurrent,0.05,0.0,0.0,0.0,0.05,57.0,4.0,tbd,24.0,RED Entertainment,E,
Disney's Meet the Robinsons,X360,2007.0,Action,Disney Interactive Studios,0.07,0.0,0.0,0.01,0.08,65.0,21.0,tbd,24.0,Buena Vista Games,E10+,
Def Jam Vendetta,PS2,2003.0,Fighting,Electronic Arts,0.95,0.74,0.0,0.25,1.94,80.0,33.0,8.9,41.0,Aki Corp.,T,
Desktop Tower Defense,DS,2009.0,Strategy,THQ,0.1,0.0,0.0,0.01,0.11,71.0,21.0,tbd,24.0,Frima Studio,E,
Tokyo Friend Park II DS,DS,2006.0,Misc,Rocket Company,0.0,0.0,0.02,0.0,0.02,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Ford Mustang: The Legend Lives,PS2,2005.0,Racing,Take-Two Interactive,0.14,0.11,0.0,0.04,0.29,58.0,5.0,7.3,8.0,Eutechnyx,E,
Backyard NFL Football,GBA,2002.0,Sports,Infogrames,0.4,0.15,0.0,0.01,0.56,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Top Spin 2,DS,2006.0,Sports,Take-Two Interactive,0.05,0.0,0.0,0.0,0.05,51.0,8.0,tbd,24.0,Indie Built,E,
Call of Duty: Black Ops 3,XOne,2015.0,Shooter,Activision,4.59,2.11,0.01,0.68,7.39,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Arslan: The Warriors of Legend,PS3,2015.0,Action,Tecmo Koei,0.0,0.0,0.05,0.0,0.05,71.0,21.0,tbd,24.0,Omega Force,T,
Pro Yakyuu Family Stadium '87,NES,1987.0,Sports,Namco Bandai Games,0.12,0.0,1.3,0.0,1.42,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Spider-Man 3,PS3,2007.0,Platform,Activision,0.26,0.29,0.02,0.11,0.67,60.0,33.0,7,40.0,Treyarch,T,
The History Channel: Battle for the Pacific,Wii,2007.0,Shooter,Activision,0.1,0.0,0.0,0.01,0.11,71.0,21.0,5.3,6.0,FUN Labs,T,
Monster High: New Ghoul in School,3DS,2015.0,Action,Little Orbit,0.0,0.04,0.0,0.0,0.04,71.0,21.0,tbd,24.0,"Torus Games, Little Orbit",E,
Warriors of Might and Magic,PS2,2001.0,Adventure,3DO,0.09,0.07,0.0,0.02,0.17,49.0,12.0,4.5,6.0,3DO,T,
Natsuiro High School: Seishun Hakusho,PS4,2015.0,Action,D3Publisher,0.0,0.0,0.02,0.0,0.02,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Extreme Pinball,PS,1995.0,Misc,Electronic Arts,0.18,0.12,0.0,0.02,0.32,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
FIFA Soccer 06,DS,2005.0,Sports,Electronic Arts,0.05,0.0,0.0,0.0,0.06,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
My First Songs,Wii,2010.0,Misc,Mindscape,0.0,0.06,0.0,0.01,0.07,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
LEGO Harry Potter Collection,PS4,2016.0,Action,Warner Bros. Interactive Entertainment,0.01,0.11,0.0,0.02,0.15,73.0,16.0,8.1,7.0,Warner Bros. Interactive Entertainment,E10+,
Pro Yaky? Spirits 6,PS3,2009.0,Sports,Konami Digital Entertainment,0.0,0.0,0.15,0.0,0.15,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
The King of Fighters 02/03,PS2,2005.0,Fighting,SNK,0.03,0.03,0.0,0.01,0.07,73.0,28.0,8.8,14.0,SNK Playmore,T,
Grisaia no Kajitsu: La Fruit de la Grisaia,PSP,2013.0,Adventure,Prototype,0.0,0.0,0.01,0.0,0.01,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Lords of the Fallen,PS4,2014.0,Role-Playing,Square Enix,0.18,0.24,0.02,0.08,0.52,68.0,45.0,6.6,279.0,"City Interactive, Deck 13",M,
Michael Jackson: The Experience,Wii,2010.0,Misc,Ubisoft,2.64,1.33,0.01,0.39,4.36,56.0,37.0,8.3,31.0,"Ubisoft Paris, Ubisoft Montpellier",E10+,
Crayon Shin-Chan: Densetsu o Yobu Omake no To Shukkugaan!,GBA,2006.0,Action,Banpresto,0.0,0.0,0.07,0.0,0.07,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Backyard Baseball '09,Wii,2008.0,Sports,Atari,0.04,0.0,0.0,0.0,0.04,37.0,4.0,7.8,6.0,Humongous Entertainment,E,
WRC: World Rally Championship,PS2,2001.0,Racing,Sony Computer Entertainment,0.12,0.09,0.0,0.03,0.25,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Cool Boarders,PS,1996.0,Sports,Sony Computer Entertainment,0.1,0.07,0.24,0.03,0.43,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Pitfall 3D: Beyond the Jungle,PS,1998.0,Platform,Activision,0.18,0.12,0.0,0.02,0.33,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Momotarou Dentetsu 11,PS2,2002.0,Misc,Hudson Soft,0.0,0.0,0.46,0.0,0.46,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Twisted Metal 2,PS,1996.0,Racing,Sony Computer Entertainment,2.12,0.25,0.0,0.07,2.44,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Persona 4: Arena,X360,2012.0,Fighting,Atlus,0.08,0.01,0.03,0.01,0.13,83.0,21.0,7.3,60.0,Arc System Works,T,
Disciples III: Renaissance,PC,2010.0,Strategy,Kalypso Media,0.0,0.01,0.0,0.0,0.02,56.0,36.0,5.4,105.0,Akella,T,
Online Chess Kingdoms,PSP,2006.0,Misc,Konami Digital Entertainment,0.01,0.0,0.0,0.0,0.02,60.0,17.0,6.8,6.0,Konami,E,
Guitar Hero: Smash Hits,PS3,2009.0,Misc,Activision,0.2,0.11,0.0,0.05,0.35,73.0,34.0,7.2,9.0,Beenox,T,
NBA Street Homecourt,X360,2007.0,Sports,Electronic Arts,0.45,0.01,0.0,0.04,0.5,80.0,42.0,8.2,30.0,EA Canada,E,
Metal Gear Solid V: The Phantom Pain,PC,2015.0,Action,Konami Digital Entertainment,0.0,0.07,0.0,0.0,0.08,91.0,13.0,7.7,279.0,Kojima Productions,M,
Board Game: Top Shop,PS,1999.0,Misc,Success,0.01,0.01,0.0,0.0,0.02,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Super Mario Maker,WiiU,2015.0,Platform,Nintendo,1.18,0.89,0.94,0.2,3.21,88.0,85.0,8.7,279.0,Nintendo,E,
Jewel Quest: Expeditions,DS,2007.0,Puzzle,Avanquest,0.03,0.17,0.0,0.01,0.22,68.0,4.0,tbd,24.0,iWin,E,
Sakura Wars 3: Paris wa Moeteiru ka,DC,2001.0,Adventure,Sega,0.0,0.0,0.33,0.0,0.33,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Bravely Second: End Layer,3DS,2015.0,Role-Playing,Nintendo,0.17,0.1,0.18,0.03,0.49,81.0,70.0,7.4,103.0,Silicon Studio,T,
F-1 World Grand Prix,N64,1998.0,Racing,Video System,0.46,0.96,0.09,0.08,1.6,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Lernerfolg Vorschule: Capt'n Sharky,DS,2009.0,Misc,Tivola,0.0,0.04,0.0,0.01,0.05,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Battlefield 4,PS4,2013.0,Shooter,Electronic Arts,1.35,1.55,0.17,0.51,3.59,85.0,18.0,6.9,279.0,EA DICE,M,
Ghostbusters (2016),XOne,2016.0,Action,Activision,0.04,0.0,0.0,0.01,0.05,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Battlefield: Bad Company 2,PS3,2010.0,Shooter,Electronic Arts,1.33,1.1,0.08,0.44,2.95,88.0,59.0,8.5,279.0,EA DICE,M,
Dance Dance Revolution 2nd ReMIX,PS,1999.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.9,0.06,0.96,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
The Pinball of the Dead,GBA,2002.0,Misc,Sega,0.05,0.02,0.0,0.0,0.06,79.0,20.0,tbd,24.0,Sega,T,
Tony Hawk's Underground 2,GBA,2004.0,Sports,Activision,0.35,0.13,0.0,0.01,0.49,70.0,4.0,tbd,24.0,Vicarious Visions,E,
SimCity 2000,SAT,1994.0,Simulation,Sega,0.0,0.0,0.28,0.0,0.28,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Mega Man & Bass,GBA,2002.0,Platform,Capcom,0.16,0.06,0.0,0.0,0.23,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Chibi-Robo! Park Patrol,DS,2007.0,Adventure,Unknown,0.0,0.0,0.19,0.0,0.19,78.0,14.0,7.5,13.0,Skip Ltd.,E,
Mission: Impossible - Operation Surma,PS2,2003.0,Platform,Atari,0.14,0.11,0.0,0.04,0.28,64.0,30.0,7.8,10.0,Paradigm Entertainment,T,
SOCOM: U.S. Navy SEALs,PS2,2002.0,Shooter,Sony Computer Entertainment,2.53,0.81,0.06,0.24,3.65,82.0,42.0,7.9,82.0,Zipper Interactive,M,
Lemony Snicket's A Series of Unfortunate Events,PS2,2004.0,Platform,Activision,0.31,0.24,0.0,0.08,0.64,63.0,25.0,5.7,12.0,Adrenium,E,
P.T.O. IV: Pacific Theater of Operations,PS2,2002.0,Strategy,Tecmo Koei,0.04,0.03,0.0,0.01,0.08,71.0,12.0,6.6,6.0,Koei,E,
Kirby's Dream Collection: Special Edition,Wii,2012.0,Action,Nintendo,0.33,0.0,0.33,0.02,0.67,82.0,6.0,8.8,37.0,HAL Labs,E10+,
Gravity Rush Remastered,PS4,2015.0,Action,Sony Computer Entertainment,0.02,0.05,0.04,0.01,0.13,80.0,62.0,8.2,153.0,Bluepoint Games,T,
Metal Gear Rising: Revengeance,PS3,2013.0,Action,Konami Digital Entertainment,0.45,0.37,0.44,0.16,1.42,80.0,61.0,7.9,279.0,PlatinumGames,M,
Guitar Hero II,PS2,2006.0,Misc,RedOctane,3.81,0.63,0.0,0.68,5.12,92.0,69.0,8.5,112.0,Harmonix Music Systems,T,
Super Famista 3,SNES,1994.0,Sports,Namco Bandai Games,0.0,0.0,0.39,0.0,0.39,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Shrek's Carnival Craze Party Games,Wii,2008.0,Misc,Activision,0.28,0.0,0.0,0.02,0.31,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Pimp My Ride: Street Racing,PS2,2009.0,Racing,Activision,0.04,0.03,0.0,0.01,0.08,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Need for Speed Carbon,PS3,2006.0,Racing,Electronic Arts,0.49,0.5,0.03,0.2,1.23,75.0,31.0,7.3,42.0,EA Canada,E10+,
America's Army: Rise of a Soldier,XB,2005.0,Shooter,Ubisoft,0.19,0.05,0.0,0.01,0.25,70.0,19.0,7.4,21.0,Secret Level,T,
Carnage Heart,PS,1995.0,Strategy,Sony Computer Entertainment,0.01,0.01,0.09,0.01,0.11,71.0,21.0,UNKNOWN,24.0,UNKNOWN,UNKNOWN,
Lego Batman 3: Beyond Gotham,PS4,2014.0,Action,Warner Bros. Interactive Entertainment,0.37,0.4,0.0,0.15,0.93,73.0,43.0,7.1,75.0,TT Games,E10+,
